PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73,POI74,POI75,POI76,POI77
POI64,1.23,0.9,1.53,11.06,0.64,6.05,9.39,17.32,32.45,12.44,2.01,31.63,6.33,3.23,2.12,22.59,9.39,3.06,5.04,1.41,23.89,10.66,7.38,32.45,0.66,23.47,23.21,12.61,24.39,13.21,1.87,25.73,2.28,4.93,0.27,72.54,38.76,1.31,2.14,0.33,17.81,15.81,0.56,38.76,9.63,5.83,22.19,3.74,12.66,32.45,23.89,3.51,12.61,32.45,3.45,3.45,5.83,7.87,13.59,18.31,23.89,13.19,6.51,0,6.82,23.89,10.66,2.14,22.19,2.07,14.71,30.27,18.31,22.19,9.36,13.21,3.06
POI65,8.03,6.08,5.5,11.67,7.45,2.09,2.78,10.53,26.17,5.62,8.74,25.41,0.5,4.17,4.75,15.92,2.78,4.55,3.19,5.62,18.09,4.08,0.92,26.17,7.47,16.71,16.4,5.79,17.73,6.39,5.14,19.29,4.57,2.03,6.89,71.45,32.95,5.73,4.78,6.52,11.48,11.29,7.37,32.95,3.59,1.68,16.33,4.66,6.22,26.17,18.09,3.79,5.79,26.17,4.56,4.56,1.68,1.94,7.38,11.82,18.09,6.56,1.12,6.82,0,18.09,4.08,4.78,16.33,8.8,7.98,32.64,11.82,16.33,2.63,6.39,4.55
POI66,24.89,22.99,23.02,18.88,24.45,20.03,15.36,10.54,9.16,14.18,25.88,8.21,18.39,22.11,21.87,7.06,15.36,22.51,21.26,23.12,0.0,14.13,18.14,9.16,24.51,8.77,9.83,13.95,15.45,13.45,22.02,4.98,21.75,19.31,23.83,60.42,14.9,23.21,21.8,23.56,7.05,8.92,24.4,14.9,14.57,19.74,1.76,20.27,12.0,9.16,0.0,21.75,13.95,9.16,22.6,22.6,19.74,18.54,10.73,7.31,0.0,12.0,19.04,23.89,18.09,0,14.13,21.8,1.76,25.93,11.36,34.16,7.31,1.76,15.64,13.45,22.51
POI67,11.84,9.84,9.47,12.21,11.29,5.91,1.3,6.78,22.09,2.7,12.65,21.34,4.47,8.24,8.54,11.93,1.3,8.63,7.17,9.59,14.13,0.0,4.02,22.09,11.32,12.84,12.65,2.73,14.76,3.11,8.85,15.22,8.38,5.74,10.69,69.42,28.94,9.69,8.54,10.35,7.4,8.32,11.22,28.94,1.56,5.66,12.37,7.73,2.15,22.09,14.13,7.87,2.73,22.09,8.65,8.65,5.66,4.46,3.41,7.74,14.13,2.52,4.94,10.66,4.08,14.13,0,8.54,12.37,12.7,4.09,32.99,7.74,12.37,1.51,3.11,8.63
POI68,3.3,1.31,1.42,10.26,2.76,4.39,7.27,15.23,30.32,10.39,4.15,29.51,4.28,2.13,0.16,20.46,7.27,2.26,3.7,1.48,21.8,8.54,5.43,30.32,2.79,21.36,21.11,10.56,22.47,11.14,0.39,23.6,0.29,2.82,2.16,71.61,36.69,1.53,0.0,1.82,15.67,13.88,2.69,36.69,7.49,4.05,20.09,2.04,10.52,30.32,21.8,2.21,10.56,30.32,2.7,2.7,4.05,6.05,11.46,16.17,21.8,11.06,4.64,2.14,4.78,21.8,8.54,0,20.09,4.2,12.6,30.34,16.17,20.09,7.27,11.14,2.26
POI69,23.2,21.29,21.3,17.6,22.75,18.27,13.6,8.99,10.59,12.45,24.18,9.67,16.64,20.36,20.15,6.25,13.6,20.76,19.5,21.4,1.76,12.37,16.38,10.59,22.81,8.09,9.06,12.22,14.61,11.73,20.32,5.33,20.03,17.58,22.14,61.47,16.63,21.49,20.09,21.86,5.33,7.54,22.7,16.63,12.82,17.98,0.0,18.6,10.23,10.59,1.76,20.01,12.22,10.59,20.85,20.85,17.98,16.78,8.97,5.68,1.76,10.25,17.28,22.19,16.33,1.76,12.37,20.09,0,24.24,9.65,33.73,5.68,0.0,13.88,11.73,20.76
POI70,1.14,2.95,3.32,12.25,1.48,7.82,11.42,19.33,34.51,14.4,0.06,33.7,8.33,4.92,4.17,24.64,11.42,4.64,6.67,3.2,25.93,12.7,9.31,34.51,1.42,25.49,25.2,14.58,26.22,15.18,3.93,27.8,4.33,6.97,2.1,73.61,40.79,3.08,4.2,2.39,19.88,17.77,1.53,40.79,11.69,7.68,24.24,5.7,14.71,34.51,25.93,5.26,14.58,34.51,4.92,4.92,7.68,9.7,15.66,20.37,25.93,15.23,8.39,2.07,8.8,25.93,12.7,4.2,24.24,0,16.74,30.49,20.37,24.24,11.38,15.18,4.64
POI71,15.9,13.91,13.46,15.27,15.35,9.5,5.33,2.72,18.51,2.88,16.68,17.83,8.43,12.12,12.6,7.96,5.33,12.49,10.81,13.58,11.36,4.09,7.66,18.51,15.37,8.76,8.56,2.65,11.14,2.1,12.92,11.52,12.43,9.79,14.76,69.31,25.76,13.69,12.6,14.4,4.32,8.43,15.27,25.76,5.44,9.39,9.65,11.81,2.6,18.51,11.36,11.75,2.65,18.51,12.45,12.45,9.39,7.73,2.93,4.21,11.36,1.69,8.63,14.71,7.98,11.36,4.09,12.6,9.65,16.74,0,35.42,4.21,9.65,5.36,2.1,12.49
POI72,29.79,30.0,31.3,21.0,30.1,33.85,32.74,37.54,41.98,35.64,30.5,40.98,32.3,32.46,30.49,39.14,32.74,32.59,33.77,31.26,34.16,32.99,33.55,41.98,30.21,40.97,41.58,35.61,46.09,35.81,30.06,39.02,30.61,31.24,30.01,47.32,42.8,31.21,30.34,30.23,34.36,27.88,30.17,42.8,31.53,33.31,33.73,28.81,33.04,41.98,34.16,32.48,35.61,41.98,33.04,33.04,33.31,34.57,32.5,35.43,34.16,34.02,33.42,30.27,32.64,34.16,32.99,30.34,33.73,30.49,35.42,0,35.43,33.73,33.15,35.81,32.59
POI73,19.44,17.46,17.18,16.62,18.92,13.53,9.04,3.38,14.39,7.09,20.31,13.68,12.21,15.98,16.19,4.54,9.04,16.37,14.82,17.3,7.31,7.74,11.65,14.39,18.96,5.98,6.31,6.86,10.79,6.3,16.46,7.48,16.04,13.42,18.31,66.56,21.55,17.4,16.17,17.99,1.07,7.55,18.85,21.55,8.69,13.35,5.68,15.06,5.66,14.39,7.31,15.61,6.86,14.39,16.37,16.37,13.35,11.84,4.8,0.0,7.31,5.28,12.6,18.31,11.82,7.31,7.74,16.17,5.68,20.37,4.21,35.43,0,5.68,9.2,6.3,16.37
POI74,23.2,21.29,21.3,17.6,22.75,18.27,13.6,8.99,10.59,12.45,24.18,9.67,16.64,20.36,20.15,6.25,13.6,20.76,19.5,21.4,1.76,12.37,16.38,10.59,22.81,8.09,9.06,12.22,14.61,11.73,20.32,5.33,20.03,17.58,22.14,61.47,16.63,21.49,20.09,21.86,5.33,7.54,22.7,16.63,12.82,17.98,0.0,18.6,10.23,10.59,1.76,20.01,12.22,10.59,20.85,20.85,17.98,16.78,8.97,5.68,1.76,10.25,17.28,22.19,16.33,1.76,12.37,20.09,0.0,24.24,9.65,33.73,5.68,0,13.88,11.73,20.76
POI75,10.56,8.58,8.1,12.2,10.0,4.4,0.46,7.96,23.57,3.25,11.32,22.83,3.07,6.8,7.26,13.3,0.46,7.18,5.66,8.22,15.64,1.51,2.5,23.57,10.02,14.11,13.85,3.38,15.53,3.93,7.6,16.67,7.09,4.45,9.42,70.43,30.45,8.33,7.27,9.05,8.9,9.54,9.92,30.45,1.85,4.16,13.88,6.7,3.66,23.57,15.64,6.43,3.38,23.57,7.17,7.17,4.16,3.0,4.91,9.2,15.64,3.93,3.43,9.36,2.63,15.64,1.51,7.27,13.88,11.38,5.36,33.15,9.2,13.88,0,3.93,7.18
POI76,14.42,12.45,11.87,15.21,13.84,7.68,4.05,4.2,20.53,0.84,15.13,19.87,6.87,10.42,11.12,9.81,4.05,10.78,8.99,11.99,13.45,3.11,5.92,20.53,13.86,10.4,10.03,0.62,11.68,0.0,11.49,13.53,10.95,8.34,13.28,70.88,27.84,12.1,11.14,12.9,6.4,9.72,13.76,27.84,4.67,7.63,11.73,10.63,2.91,20.53,13.45,10.05,0.62,20.53,10.68,10.68,7.63,5.83,3.98,6.3,13.45,2.07,6.88,13.21,6.39,13.45,3.11,11.14,11.73,15.18,2.1,35.81,6.3,11.73,3.93,0,10.78
POI77,4.23,2.81,1.55,12.46,3.63,3.2,7.33,14.97,30.71,9.96,4.59,29.95,4.17,0.4,2.1,20.45,7.33,0.0,2.03,1.66,22.51,8.63,4.86,30.71,3.59,21.17,20.8,10.16,21.6,10.78,2.53,23.85,2.0,3.27,3.27,73.69,37.4,1.76,2.26,2.89,16.01,15.11,3.53,37.4,7.94,3.15,20.76,4.1,10.76,30.71,22.51,0.76,10.16,30.71,0.45,0.45,3.15,5.1,11.87,16.37,22.51,11.11,3.9,3.06,4.55,22.51,8.63,2.26,20.76,4.64,12.49,32.59,16.37,20.76,7.18,10.78,0
